epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,7213.66,0.98334,0.74085,1.1301,0.77785,0.6983,0.79887,0.49872,1.37484,0.96775,1.37782,0.0003764,0.0003764,0.0003764
84,7614.77,0.92135,0.67482,1.09553,0.77855,0.72019,0.80862,0.50396,1.36065,0.96676,1.3721,0.0003566,0.0003566,0.0003566
85,8015.84,0.9515,0.67556,1.09692,0.85685,0.65539,0.80603,0.50674,1.35372,0.97147,1.38685,0.0003368,0.0003368,0.0003368
86,8415.96,0.90296,0.65364,1.10022,0.77934,0.72993,0.80751,0.50714,1.35989,0.93352,1.39713,0.000317,0.000317,0.000317
87,8816.82,0.93267,0.68262,1.10039,0.8374,0.68613,0.78681,0.4949,1.36419,1.02411,1.38418,0.0002972,0.0002972,0.0002972
88,9218.67,0.92196,0.67825,1.10491,0.72901,0.75426,0.80017,0.50673,1.37624,0.96706,1.40356,0.0002774,0.0002774,0.0002774
89,9622.87,0.93547,0.67857,1.09962,0.83041,0.65527,0.79957,0.50412,1.36489,1.00609,1.40263,0.0002576,0.0002576,0.0002576
90,10023.2,0.89154,0.6536,1.08219,0.7615,0.69919,0.79171,0.49822,1.37942,1.00236,1.40559,0.0002378,0.0002378,0.0002378
91,10427,0.85396,0.61448,1.04881,0.79428,0.691,0.78921,0.49762,1.38521,1.04376,1.4205,0.000218,0.000218,0.000218
92,10829.8,0.93777,0.65613,1.08558,0.7947,0.67153,0.78647,0.49394,1.40011,0.99389,1.42779,0.0001982,0.0001982,0.0001982
93,11227.7,0.84431,0.56874,1.04992,0.81168,0.68163,0.80065,0.50085,1.39448,0.96236,1.42035,0.0001784,0.0001784,0.0001784
94,11624.6,0.82527,0.56214,1.0314,0.86401,0.67153,0.79987,0.5073,1.37176,0.96536,1.40171,0.0001586,0.0001586,0.0001586
95,12026.1,0.80452,0.54541,1.01618,0.85445,0.67153,0.80118,0.50907,1.35873,0.95469,1.38981,0.0001388,0.0001388,0.0001388
96,12426.4,0.77663,0.4899,0.98806,0.84032,0.67862,0.80275,0.51252,1.35966,0.9819,1.40281,0.000119,0.000119,0.000119
97,12824.4,0.87465,0.52167,1.09319,0.84902,0.67397,0.80434,0.50932,1.35897,0.99845,1.39927,9.92e-05,9.92e-05,9.92e-05
98,13220.9,0.81354,0.55318,1.01271,0.86935,0.65937,0.80396,0.50947,1.35572,1.00077,1.39595,7.94e-05,7.94e-05,7.94e-05
99,13616.7,0.83697,0.58124,1.04186,0.87883,0.64477,0.80874,0.51694,1.339,0.97321,1.38444,5.96e-05,5.96e-05,5.96e-05
100,14014.6,0.77694,0.51561,0.99507,0.84703,0.66423,0.81019,0.5205,1.3322,0.95389,1.38301,3.98e-05,3.98e-05,3.98e-05
